ID,Ronda,Rival,Resultado
1009,7,Jason Tang [US],Win
1009,6,Joseph Ugarte [US],Loss
1009,5,Nathan Parker [US],Loss
1009,4,Dashiell Murphy [US],Win
1009,3,Michael Arand [US],Win
1009,2,Jianzheng Huang [CN],Win
1009,1,Andrew Zdancewicz [US],Win
1010,15,Nicholas Donnelly [US],Loss
1010,14,Devon Singh [US],Win
1010,13,Enzo Reci [US],Win
1010,12,felipe molino [PA],Win
1010,11,Jonathan Quiñones [US],Win
1010,10,Justin Carris [US],Win
1010,9,KaSun Thompson [US],Win
1010,8,Brian Dumont [US],Win
1010,7,Blake Silver [US],Loss
1010,6,Chris Wolfe [US],Win
1010,5,Jacob Vargas [US],Win
1010,4,Marcus Dion [CA],Win
1010,3,David Shoffner [US],Win
1010,2,Aaron Davis [US],Loss
1010,1,Clinton Cheang [US],Win
1011,15,Nick Navarre [US],Win
1011,14,Aaron Clemons [US],Win
1011,13,Drew Brown [US],Win
1011,12,Ethan Trejo [US],Win
1011,11,felipe molino [PA],Loss
1011,10,Chance Hinds [US],Win
1011,9,Stefan Mott [US],Win
1011,8,Justin Tang [US],Loss
1011,7,Stephen Mea [US],Loss
1011,6,Steven Kaye [US],Win
1011,5,Aaron Clemons [US],Win
1011,4,Mia Gray [US],Win
1011,3,Joshua Gagnon [US],Win
1011,2,Trista Medine [US],Win
1011,1,Aaron Perez [US],Win
1012,15,Scott Iwafuchi [US],Win
1012,14,Dashiell Murphy [US],Win
1012,13,James Evans [US],Win
1012,12,Aaron Clemons [US],Loss
1012,11,Jonathan Zuniga [US],Win
1012,10,Noah Gardner [US],Win
1012,9,Tristan Juhasz [US],Win
1012,8,Zachary Liekweg [US],Win
1012,7,Toler Webb [US],Loss
1012,6,Kent Wong [US],Win
1012,5,Theo Cooper [US],Win
1012,4,Nick Navarre [US],Loss
1012,3,CJ Moritz [US],Win
1012,2,Andrew Sonza [US],Win
1012,1,Trevor Roeder [US],Win
1013,15,Chance Hinds [US],Win
1013,14,Enzo Reci [US],Loss
1013,13,Arbin Tumaneng [US],Loss
1013,12,Nick Navarre [US],Win
1013,11,Nicholas Donnelly [US],Loss
1013,10,Brendan Zheng [US],Win
1013,9,Owen Murphy [US],Win
1013,8,Samuel Mowery [US],Win
1013,7,Rowan Hall [US],Win
1013,6,Geoffrey Yang [US],Win
1013,5,Dominique Johnson [US],Win
1013,4,Lane Burke [US],Win
1013,3,David Mancuso [US],Loss
1013,2,Tate Colburn [US],Win
1013,1,Ian Kormos [US],Win
1014,15,Jonathan Zuniga [US],Win
1014,14,Sohaib Mufti [US],Loss
1014,13,Brian Collins [US],Loss
1014,12,Marco Martinez [US],Win
1014,11,Stephen Mea [US],Loss
1014,10,Wolfe Glick [US],Loss
1014,9,Scott Iwafuchi [US],Win
1014,8,Stephen Mea [US],Win
1014,7,Norah Bowman [US],Win
1014,6,Owen Murphy [US],Win
1014,5,Jerry Woods III [US],Win
1014,4,Enzo Reci [US],Win
1014,3,Janice Lee [US],Win
1014,2,Richard Dover [US],Win
1014,1,Darius Helmick [US],Win
1015,15,Marco Martinez [US],Loss
1015,14,Arbin Tumaneng [US],Loss
1015,13,Thaison Hughes [US],Win
1015,12,David Baumgardt [US],Win
1015,11,Jered Hunn [US],Win
1015,10,Toler Webb [US],Win
1015,9,Joseph Ugarte [US],Win
1015,8,Sohaib Mufti [US],Loss
1015,7,Jon VanRyckeghem [US],Win
1015,6,Philip Matthews [US],Win
1015,5,Samuel Mowery [US],Loss
1015,4,Manuel Sixtos [US],Win
1015,3,Geoffrey Yang [US],Win
1015,2,Jon-Luke Martin [US],Win
1015,1,Pierre-Antoine Deshaies [CA],Win
1016,15,Will Inabinet [US],Loss
1016,14,Jérémy Côté [CA],Win
1016,13,Justin Tang [US],Win
1016,12,Arbin Tumaneng [US],Loss
1016,11,Enzo Reci [US],Loss
1016,10,Shiliang Tang [CN],Win
1016,9,Zhe Zhang [CN],Loss
1016,8,Nathan Parker [US],Win
1016,7,Joshua Denk [US],Win
1016,6,Sam Danneker [US],Win
1016,5,Evan Zimmer [US],Win
1016,4,Kevin Sarmiento [CO],Win
1016,3,Roberto Ruiz-Perez [US],Win
1016,2,Devin Johnson [US],Win
1016,1,Roberto Quinones [US],Win
1017,15,Toler Webb [US],Loss
1017,14,Zhe Zhang [CN],Win
1017,13,Don Czech [US],Win
1017,12,Michael Parusa [US],Win
1017,11,Nick Navarre [US],Loss
1017,10,Luka Trejgut [US],Loss
1017,9,Nick Navarre [US],Win
1017,8,Paul Chua [US],Win
1017,7,Nicholas Donnelly [US],Loss
1017,6,Justin Tang [US],Win
1017,5,Toler Webb [US],Win
1017,4,Andy Bennett [US],Win
1017,3,Jeremy Gumbs [US],Win
1017,2,Joshua Salter [US],Win
1017,1,Carlos Barrera [US],Win
1018,15,Neil Patel [US],Loss
1018,14,Wolfe Glick [US],Loss
1018,13,Brendan Zheng [US],Win
1018,12,Justin Tang [US],Win
1018,11,Justin Burns [US],Win
1018,10,Don Czech [US],Win
1018,9,John Rutledge [US],Win
1018,8,Luis Diaz [US],Win
1018,7,*VIP 1 * Ryan Hebert [US],Win
1018,6,Brian Dumont [US],Loss
1018,5,Kyle Foley [US],Win
1018,4,Collin Beer [US],Win
1018,3,Yuki Kazeko [US],Win
1018,2,Connor Swikart [US],Loss
1018,1,Joohwan Kim [US],Win
1019,15,Rajan Bal [US],Loss
1019,14,David Baumgardt [US],Win
1019,13,Owen Murphy [US],Win
1019,12,Jered Hunn [US],Win
1019,11,Arbin Tumaneng [US],Loss
1019,10,Darsh Patel [US],Win
1019,9,Jackson McMillan [US],Win
1019,8,Ethan Shaffer [US],Win
1019,7,Chase Matteo [US],Win
1019,6,Dawei Si [CN],Loss
1019,5,Victor Delgado [US],Win
1019,4,Brady Smith [US],Loss
1019,3,Kyle Wilkinson [US],Win
1019,2,Adrian Hazel [US],Win
1019,1,Dia Laidlaw [US],Win
1020,15,Kyle Livinghouse [US],Loss
1020,14,Thaison Hughes [US],Win
1020,13,felipe molino [PA],Win
1020,12,Raghav Malaviya [US],Loss
1020,11,Sohaib Mufti [US],Win
1020,10,Dustin Deardurff [US],Win
1020,9,Sohaib Mufti [US],Loss
1020,8,Nicholas Donnelly [US],Loss
1020,7,Sebastian Guerrero [US],Win
1020,6,Jimmy Friedle [US],Win
1020,5,Jeremiah Paul [US],Win
1020,4,Will Inabinet [US],Win
1020,3,Darsh Patel [US],Win
1020,2,Vivyan McReynolds [US],Win
1020,1,Alex Pound [US],Win
1021,15,Jonathan Quiñones [US],Win
1021,14,Noah Gardner [US],Win
1021,13,Kyle Livinghouse [US],Loss
1021,12,Luka Trejgut [US],Loss
1021,11,Takuya Hiraiwa [US],Win
1021,10,Jérémy Côté [CA],Win
1021,9,Nick D’Angelo [US],Win
1021,8,Shiliang Tang [CN],Loss
1021,7,Zachary Hall [US],Win
1021,6,Ray Camp [US],Win
1021,5,Tyson Gernack [CA],Win
1021,4,joseph ochoa [US],Loss
1021,3,Philip Miller [US],Win
1021,2,Yichun Wu [US],Win
1021,1,Anthony Mubiala [US],Win
1022,15,Devon Singh [US],Win
1022,14,Mia Gray [US],Win
1022,13,Rajan Bal [US],Loss
1022,12,Thaison Hughes [US],Loss
1022,11,Yichun Wu [US],Win
1022,10,Scott Iwafuchi [US],Loss
1022,9,Neil Patel [US],Win
1022,8,Drew Brown [US],Win
1022,7,Luis Diaz [US],Win
1022,6,Albert Henderson [US],Win
1022,5,Joshua Denk [US],Loss
1022,4,Takuya Hiraiwa [US],Win
1022,3,Andrew Gouck [US],Win
1022,2,Yan Chak Li [US],Win
1022,1,Jonathan Gordillo [US],Win
1023,15,Blake Silver [US],Win
1023,14,Nick Navarre [US],Loss
1023,13,Paul Chua [US],Loss
1023,12,Shiliang Tang [CN],Win
1023,11,Rajan Bal [US],Win
1023,10,Nathan Parker [US],Win
1023,9,Sergio Mojica [US],Win
1023,8,Jérémy Côté [CA],Loss
1023,7,Collin Todd [US],Win
1023,6,Noredia Imudia [US],Win
1023,5,Bazz Coleman [US],Win
1023,4,Wolfe Glick [US],Loss
1023,3,Ethan Haberle [US],Win
1023,2,Austin Holsclaw [US],Win
1023,1,Dylan Rutledge [US],Win
1024,15,Dashiell Murphy [US],Win
1024,14,Scott Iwafuchi [US],Loss
1024,13,Zackary Thornberg [US],Win
1024,12,Chance Hinds [US],Win
1024,11,Dillon Woolf [US],Win
1024,10,Drew Brown [US],Loss
1024,9,Luka Trejgut [US],Loss
1024,8,Thaison Hughes [US],Win
1024,7,Marco Martinez [US],Win
1024,6,Emily Olynick [US],Win
1024,5,Kevonne Boreland [US],Win
1024,4,Dylan Mertens [US],Win
1024,3,Averi Biery [US],Loss
1024,2,Micah Homick [US],Win
1024,1,Charles Moses [US],Win
1025,15,Enzo Reci [US],Loss
1025,14,Nicholas Donnelly [US],Loss
1025,13,Zhe Zhang [CN],Win
1025,12,Blake Silver [US],Win
1025,11,Riley Factura [US],Win
1025,10,Jonathan Duran [US],Win
1025,9,Sebastian Guerrero [US],Win
1025,8,Joshua Denk [US],Loss
1025,7,Ethan Trejo [US],Win
1025,6,Jamie Mancini [US],Win
1025,5,Yotam Cohen [US],Loss
1025,4,Tristan Juhasz [US],Win
1025,3,Richard Mogollon [US],Win
1025,2,Jeovan Teixeira [US],Win
1025,1,Leigh Huckabee [US],Win
1026,15,Donghun Youm [US],Win
1026,14,Dylan Simmons [US],Win
1026,13,Toler Webb [US],Loss
1026,12,Jonathan Quiñones [US],Win
1026,11,Brian Collins [US],Loss
1026,10,Sam Danneker [US],Win
1026,9,Kendall Lux [US],Win
1026,8,Landon Morjal [US],Win
1026,7,Enrique Grimaldo [US],Win
1026,6,Paul Ruiz [EC],Win
1026,5,James Elugbemi [US],Win
1026,4,Tanner Gillis [US],Win
1026,3,Kurt Imhoff [US],Loss
1026,2,Scott Hill [US],Win
1026,1,Matin Moradi [US],Loss
1027,15,Dustin Deardurff [US],Win
1027,14,Rajan Bal [US],Loss
1027,13,Ashton Cox [US],Loss
1027,12,Rily Corn [US],Win
1027,11,Mia Gray [US],Win
