Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Tornadus,Rocky Helmet,Prankster,Ghost,Tailwind,Bleakwind Storm,Sunny Day,Taunt,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Spiky Shield,Earth Power,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Protect,4
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech,Kingambit,Black Glasses,Defiant,Dark,Protect,Sucker Punch,Swords Dance,Kowtow Cleave,Landorus,Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Sandsear Storm,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Breaking Swipe,Heat Crash,Snarl,Amoonguss,Sitrus Berry,Regenerator,Water,Protect,Rage Powder,Spore,Pollen Puff,9
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sacred Sword,Sucker Punch,Protect,Ice Spinner,Gouging Fire,Booster Energy,Protosynthesis,Grass,Heat Crash,Breaking Swipe,Howl,Protect,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Grass Knot,Kingambit,Black Glasses,Defiant,Poison,Kowtow Cleave,Sucker Punch,Protect,Iron Head,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield,Dragonite,Assault Vest,Inner Focus,Normal,Aerial Ace,Thunder Punch,Stomping Tantrum,Extreme Speed,10
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Gholdengo,Metal Coat,Good as Gold,Steel,Protect,Nasty Plot,Shadow Ball,Make It Rain,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderclap,Protect,Thunderbolt,Draco Meteor,Rillaboom,Miracle Seed,Grassy Surge,Fire,Grassy Glide,Fake Out,High Horsepower,Wood Hammer,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,11
Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Incineroar,Assault Vest,Intimidate,Fairy,Fake Out,Knock Off,Flare Blitz,U-turn,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield,7
Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Trick Room,Recover,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Stellar,Close Combat,Surging Strikes,Aqua Jet,Detect,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,Gholdengo,Metal Coat,Good as Gold,Dragon,Make It Rain,Shadow Ball,Nasty Plot,Protect,12
Amoonguss,Sitrus Berry,Regenerator,Dark,Pollen Puff,Rage Powder,Spore,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Icy Wind,Shadow Ball,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Rock Slide,Head Smash,Flare Blitz,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Tailwind,Taunt,Protect,Raging Bolt,Assault Vest,Protosynthesis,Grass,Electroweb,Snarl,Dragon Pulse,Thunderclap,13
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Perish Song,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,3
Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect,Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Wide Guard,Tailwind,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect,14
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Power Whip,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Protect,Tailwind,Icy Wind,Kingambit,Assault Vest,Defiant,Fairy,Sucker Punch,Iron Head,Assurance,Low Kick,Glimmora,Power Herb,Toxic Debris,Grass,Sludge Bomb,Earth Power,Spiky Shield,Meteor Beam,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sandsear Storm,Sludge Bomb,Scream Tail,Booster Energy,Protosynthesis,Ghost,Protect,Encore,Dazzling Gleam,Disable,0
