Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Protect,Sucker Punch,Sacred Sword,Rillaboom,Assault Vest,Grassy Surge,Grass,Grassy Glide,U-turn,Wood Hammer,Fake Out,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Swords Dance,Protect,Sucker Punch,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Breaking Swipe,Howl,Heat Crash,3
Iron Bundle,Booster Energy,Quark Drive,Ghost,Protect,Freeze-Dry,Helping Hand,Icy Wind,Urshifu,Focus Sash,Unseen Fist,Dark,Sucker Punch,Wicked Blow,Close Combat,Detect,Landorus,Life Orb,Sheer Force,Poison,Protect,Substitute,Earth Power,Sludge Bomb,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Registeel,Leftovers,Clear Body,Fairy,Heavy Slam,Body Press,Protect,Iron Defense,Incineroar,Sitrus Berry,Intimidate,Water,Flare Blitz,Fake Out,Parting Shot,Knock Off,32
Talonflame,Life Orb,Gale Wings,Flying,Brave Bird,Tailwind,Protect,Flare Blitz,Armarouge,Power Herb,Flash Fire,Psychic,Heat Wave,Expanding Force,Meteor Beam,Trick Room,Dondozo,Leftovers,Oblivious,Fairy,Wave Crash,Protect,Earthquake,Tera Blast,Tatsugiri,Choice Specs,Commander,Water,Draco Meteor,Icy Wind,Muddy Water,Sleep Talk,Maushold-Four,Wide Lens,Technician,Normal,Population Bomb,Follow Me,Protect,Feint,Indeedee-F,Rocky Helmet,Psychic Surge,Grass,Follow Me,Trick Room,Dazzling Gleam,Helping Hand,0
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Aerial Ace,Outrage,Earthquake,Ogerpon,Covert Cloak,Defiant,Grass,Ivy Cudgel,Superpower,Follow Me,Spiky Shield,Dondozo,Rocky Helmet,Unaware,Grass,Wave Crash,Order Up,Earthquake,Protect,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Mortal Spin,Spiky Shield,Tatsugiri-Stretchy,Choice Scarf,Commander,Fairy,Draco Meteor,Muddy Water,Icy Wind,Tera Blast,27
Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Sunny Day,Tailwind,Taunt,Torkoal,Heat Rock,Drought,Grass,Overheat,Helping Hand,Yawn,Protect,Raging Bolt,Magnet,Protosynthesis,Electric,Thunderclap,Thunderbolt,Draco Meteor,Protect,Typhlosion-Hisui,Choice Scarf,Blaze,Fire,Eruption,Overheat,Heat Wave,Shadow Ball,Lilligant-Hisui,Focus Sash,Chlorophyll,Ghost,Leaf Blade,Close Combat,Sleep Powder,Protect,Kingambit,Assault Vest,Defiant,Fire,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick,0
Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Protect,Snarl,Dark Pulse,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Tornadus,Covert Cloak,Prankster,Steel,Rain Dance,Bleakwind Storm,Tailwind,Taunt,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Draco Meteor,Thunderbolt,Volt Switch,Mamoswine,Loaded Dice,Thick Fat,Poison,High Horsepower,Icicle Spear,Haze,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Power Gem,Moonblast,0
Walking Wake,Life Orb,Protosynthesis,Fire,Hydro Steam,Draco Meteor,Protect,Flamethrower,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Misty Terrain,Torkoal,Charcoal,Drought,Fire,Heat Wave,Eruption,Helping Hand,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Helping Hand,Protect,Dazzling Gleam,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Follow Me,Wood Hammer,Raging Bolt,Assault Vest,Protosynthesis,Grass,Thunderclap,Snarl,Thunderbolt,Draco Meteor,33
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Power Gem,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Icy Wind,Tailwind,Taunt,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,0
Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Sunny Day,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Power Gem,Moonblast,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,Detect,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Protect,Tsareena,Wide Lens,Queenly Majesty,Fire,Triple Axel,Power Whip,Helping Hand,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,High Horsepower,Fake Out,0
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Coaching,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Knock Off,Parting Shot,Flutter Mane,Booster Energy,Protosynthesis,Grass,Moonblast,Shadow Ball,Calm Mind,Protect,Rillaboom,Assault Vest,Grassy Surge,Poison,Fake Out,Wood Hammer,Grassy Glide,U-turn,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Swords Dance,Spiky Shield,Farigiraf,Throat Spray,Armor Tail,Fairy,Hyper Voice,Psychic,Trick Room,Protect,1
Landorus-Therian,Choice Scarf,Intimidate,Flying,Stomping Tantrum,U-turn,Rock Slide,Tera Blast,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Snarl,Extreme Speed,Stomping Tantrum,Weezing-Galar,Sitrus Berry,Neutralizing Gas,Dark,Dazzling Gleam,Protect,Pain Split,Will-O-Wisp,Urshifu,Focus Sash,Unseen Fist,Steel,Wicked Blow,Protect,Sucker Punch,Close Combat,Milotic,Leftovers,Competitive,Poison,Scald,Icy Wind,Protect,Recover,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Rage Powder,Protect,Spore,0
Gouging Fire,Booster Energy,Protosynthesis,Fire,Burning Bulwark,Breaking Swipe,Howl,Heat Crash,Kingambit,Assault Vest,Defiant,Fairy,Kowtow Cleave,Low Kick,Iron Head,Sucker Punch,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sludge Bomb,Sandsear Storm,Rillaboom,Miracle Seed,Grassy Surge,Grass,Protect,Wood Hammer,Fake Out,Grassy Glide,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,3
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Ice Spinner,U-turn,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Icy Wind,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Iron Crown,Booster Energy,Quark Drive,Water,Tachyon Cutter,Expanding Force,Tera Blast,Protect,6
Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Taunt,Sunny Day,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Follow Me,Ivy Cudgel,Wood Hammer,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Hyper Voice,Blood Moon,Earth Power,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Icy Wind,Moonblast,Shadow Ball,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Dazzling Gleam,Psychic,Helping Hand,Trick Room,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Sucker Punch,Wicked Blow,Close Combat,2
Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out,Cresselia,Safety Goggles,Levitate,Poison,Ice Beam,Skill Swap,Lunar Blessing,Trick Room,Glimmora,Power Herb,Toxic Debris,Grass,Sludge Bomb,Meteor Beam,Earth Power,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Taunt,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Registeel,Leftovers,Clear Body,Water,Heavy Slam,Body Press,Iron Defense,Protect,0
Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Bleakwind Storm,Taunt,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Stomping Tantrum,Extreme Speed,Snarl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,4
Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,Detect,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,High Horsepower,Fake Out,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Sunny Day,Tailwind,Rain Dance,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Power Gem,Tsareena,Wide Lens,Queenly Majesty,Fire,Power Whip,Triple Axel,Protect,Helping Hand,0
Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Thunderbolt,Draco Meteor,Snarl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Roaring Moon,Booster Energy,Protosynthesis,Flying,Protect,Acrobatics,Knock Off,Dragon Dance,Incineroar,Iapapa Berry,Intimidate,Grass,Fake Out,Knock Off,Flare Blitz,Parting Shot,Amoonguss,Sitrus Berry,Regenerator,Fairy,Protect,Spore,Rage Powder,Pollen Puff,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,7
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,7
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Icy Wind,Walking Wake,Life Orb,Protosynthesis,Fire,Protect,Hydro Steam,Draco Meteor,Flamethrower,Kingambit,Assault Vest,Defiant,Fire,Low Kick,Kowtow Cleave,Sucker Punch,Iron Head,Ogerpon,Focus Sash,Defiant,Grass,Spiky Shield,Ivy Cudgel,Stomping Tantrum,Follow Me,Torkoal,Charcoal,Drought,Fire,Earth Power,Eruption,Overheat,Helping Hand,Indeedee-F,Safety Goggles,Psychic Surge,Fire,Follow Me,Dazzling Gleam,Trick Room,Helping Hand,0
Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Psychic,Hyper Voice,Helping Hand,Tornadus,Covert Cloak,Prankster,Steel,Tailwind,Protect,Icy Wind,Bleakwind Storm,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Protect,Blood Moon,Iron Hands,Clear Amulet,Quark Drive,Grass,Wild Charge,Heavy Slam,Fake Out,Close Combat,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Follow Me,Spiky Shield,Wood Hammer,2
Amoonguss,Rocky Helmet,Regenerator,Steel,Spore,Rage Powder,Pollen Puff,Protect,Archaludon,Assault Vest,Stamina,Fairy,Body Press,Electro Shot,Heavy Slam,Dragon Pulse,Pelipper,Focus Sash,Drizzle,Stellar,Tailwind,Hurricane,Wide Guard,Weather Ball,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Aqua Jet,Close Combat,U-turn,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Incineroar,Safety Goggles,Intimidate,Dragon,Knock Off,Flare Blitz,Fake Out,Parting Shot,14
Farigiraf,Throat Spray,Armor Tail,Fairy,Hyper Voice,Psyshock,Trick Room,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Power Gem,Torkoal,Safety Goggles,Drought,Fire,Eruption,Overheat,Helping Hand,Protect,Raging Bolt,Assault Vest,Protosynthesis,Ghost,Thunderclap,Draco Meteor,Thunderbolt,Snarl,Rillaboom,Miracle Seed,Grassy Surge,Grass,Wood Hammer,Grassy Glide,Fake Out,Protect,0
Raging Bolt,Assault Vest,Protosynthesis,Grass,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Regirock,Leftovers,Clear Body,Grass,Rock Slide,Body Press,Iron Defense,Protect,Farigiraf,Throat Spray,Armor Tail,Fairy,Hyper Voice,Psychic,Trick Room,Protect,Flutter Mane,Focus Sash,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Torkoal,Charcoal,Drought,Fire,Eruption,Earth Power,Heat Wave,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,0
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Swords Dance,Spiky Shield,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Farigiraf,Throat Spray,Armor Tail,Fairy,Psychic,Hyper Voice,Trick Room,Protect,Rillaboom,Assault Vest,Grassy Surge,Poison,Wood Hammer,Grassy Glide,U-turn,Fake Out,Flutter Mane,Booster Energy,Protosynthesis,Grass,Moonblast,Shadow Ball,Calm Mind,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet,1
Urshifu,Choice Scarf,Unseen Fist,Dark,Wicked Blow,Iron Head,Close Combat,U-turn,Ursaluna,Flame Orb,Guts,Ghost,Headlong Rush,Protect,Earthquake,Facade,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Helping Hand,Follow Me,Trick Room,Hatterene,Life Orb,Magic Bounce,Fire,Dazzling Gleam,Protect,Expanding Force,Trick Room,Torkoal,Charcoal,Drought,Fire,Eruption,Flamethrower,Protect,Clear Smog,Gallade,Clear Amulet,Sharpness,Grass,Sacred Sword,Trick Room,Psycho Cut,Wide Guard,24
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Dragonite,Choice Band,Inner Focus,Normal,Outrage,Aerial Ace,Extreme Speed,Stomping Tantrum,Gouging Fire,Booster Energy,Protosynthesis,Grass,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Clear Smog,Rage Powder,Protect,0
Pelipper,Focus Sash,Drizzle,Stellar,Wide Guard,Hurricane,Weather Ball,Tailwind,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Aqua Jet,14
Kingambit,Assault Vest,Defiant,Fire,Kowtow Cleave,Sucker Punch,Iron Head,Low Kick,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sucker Punch,Sacred Sword,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Wood Hammer,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Icy Wind,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Aerial Ace,Aqua Jet,0
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Torkoal,Charcoal,Drought,Fire,Protect,Eruption,Heat Wave,Helping Hand,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,Walking Wake,Life Orb,Protosynthesis,Fire,Protect,Hydro Steam,Draco Meteor,Flamethrower,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,33
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Horn Leech,Ivy Cudgel,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Icy Wind,Shadow Ball,Moonblast,Ursaluna-Bloodmoon,Silk Scarf,Mind’s Eye,Normal,Protect,Earth Power,Hyper Voice,Blood Moon,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Entei,Assault Vest,Inner Focus,Grass,Extreme Speed,Snarl,Stomping Tantrum,Sacred Fire,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Dazzling Gleam,Helping Hand,Imprison,Trick Room,2
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Pollen Puff,Rage Powder,Grass Knot,Spore,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Power Gem,Moonblast,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Heat Crash,Breaking Swipe,Howl,Kingambit,Black Glasses,Defiant,Dragon,Iron Head,Kowtow Cleave,Sucker Punch,Protect,10
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Howl,Heat Crash,Breaking Swipe,Kingambit,Black Glasses,Defiant,Dragon,Protect,Swords Dance,Kowtow Cleave,Sucker Punch,Rillaboom,Assault Vest,Grassy Surge,Fire,High Horsepower,Grassy Glide,Fake Out,Wood Hammer,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Protect,Icicle Crash,Sucker Punch,Sacred Sword,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,3
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Follow Me,Spiky Shield,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Tailwind,Sunny Day,Taunt,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Overheat,Dark Pulse,Snarl,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,4
Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Flare Blitz,Knock Off,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,Amoonguss,Mental Herb,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Clear Smog,Cresselia,Safety Goggles,Levitate,Fairy,Moonblast,Lunar Blessing,Trick Room,Helping Hand,34
Indeedee-F,Rocky Helmet,Psychic Surge,Fire,Follow Me,Helping Hand,Trick Room,Dazzling Gleam,Lilligant-Hisui,Focus Sash,Chlorophyll,Ghost,Close Combat,Solar Blade,After You,Sleep Powder,Armarouge,Life Orb,Flash Fire,Psychic,Expanding Force,Heat Wave,Trick Room,Protect,Torkoal,Charcoal,Drought,Fire,Eruption,Heat Wave,Earth Power,Protect,Regidrago,Choice Scarf,Dragon's Maw,Dragon,Dragon Energy,Draco Meteor,Dragon Pulse,Earth Power,Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect,0
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Sandsear Storm,Protect,Kingambit,Black Glasses,Defiant,Dark,Protect,Kowtow Cleave,Sucker Punch,Swords Dance,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Snarl,Burning Bulwark,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Icy Wind,9
Whimsicott,Covert Cloak,Prankster,Ghost,Tailwind,Encore,Moonblast,Beat Up,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Power Gem,Incineroar,Ability Shield,Intimidate,Fairy,Flare Blitz,Knock Off,Fake Out,Parting Shot,Terrakion,Assault Vest,Justified,Poison,Sacred Sword,Upper Hand,Rock Slide,Poison Jab,Weezing-Galar,Rocky Helmet,Neutralizing Gas,Grass,Protect,Sludge Bomb,Dazzling Gleam,Will-O-Wisp,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,0
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Breaking Swipe,Heat Crash,Howl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Thunderbolt,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Icy Wind,Bleakwind Storm,Protect,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Iron Head,Low Kick,Sucker Punch,Chi-Yu,Choice Scarf,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Overheat,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,0
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Punch,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Helping Hand,Follow Me,Trick Room,Regidrago,Dragon Fang,Dragon's Maw,Steel,Dragon Energy,Draco Meteor,Tera Blast,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Icy Wind,Tailwind,Rain Dance,Iron Crown,Booster Energy,Quark Drive,Water,Tachyon Cutter,Expanding Force,Tera Blast,Protect,6
Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,High Horsepower,Fake Out,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,3
